grape_Malbec,flavor_score_non_oak,flavor_score_tree_fruit,flavor_score_oak,flavor_score_spices,grape_Sémillon,grape_Shiraz/Syrah,grape_Pinot Gris,grape_Petit Verdot,flavor_score_black_fruit,flavor_score_microbio,flavor_score_red_fruit,grape_Zinfandel,flavor_score_tropical_fruit,flavor_score_earth,grape_Petite Sirah,ratings_average,wine_name,wine_type,wine_style,taste_intensity,flavor_score_citrus_fruit,taste_fizziness,grape_Carménère,flavor_score_vegetal,grape_Cabernet Franc,grape_Pinot Noir,taste_sweetness,ratings_count,taste_acidity,grape_Chardonnay,natural_wine,taste_tannin,grape_Merlot,vintage,flavor_score_dried_fruit,winery_name,grape_Cabernet Sauvignon,flavor_score_floral
,0.15615462868769076,0.004747371990505256,0.2605968124788064,0.12902678874194642,,1,,,0.15649372668701256,0.033231603933536795,0.09596473380807054,1,0.001017293997965412,0.13241776873516448,,4,Bogle Phantom 2016,Phantom,Californian Red Blend,4.8677845,0.002204136995591726,,,0.0054255679891488644,,,1.6310468,2411,3.8730204,,False,3.4620993,1,2016,0.0169548999660902,Bogle,1,0.005764665988470668
,0.15497433390369103,0.002199951112197507,0.24199462234172575,0.11513077487166952,,,,,0.1821070642874603,0.02566609630897091,0.11806404302126619,,0.0012221950623319481,0.12906379858225372,,4.1,Louis M. Martini Cabernet Sauvignon 2016,Cabernet Sauvignon,Napa Valley Cabernet Sauvignon,4.827849,0.0029332681495966755,,,0.007577609386458079,,,1.6921597,2404,3.4313908,,False,3.4695687,,2016,0.014666340747983378,Louis M. Martini,1,0.004399902224395014
,0.14301250679717237,0.005437737901033171,0.22294725394235998,0.1245241979336596,,,,,0.17971723762914626,0.026373028820010875,0.12887438825448613,,0.002175095160413268,0.12561174551386622,,4.1,Chateau Montelena Cabernet Sauvignon (Calistoga Cuvée) 2012,Cabernet Sauvignon (Calistoga Cuvée),Napa Valley Cabernet Sauvignon,4.7161093,0.006797172376291463,,,0.015769439912996192,,,1.4983507,2399,3.4025724,,False,3.3334768,,2012,0.01277868406742795,Chateau Montelena,1,0.005981511691136488
,0.15134228187919463,0.003355704697986577,0.23825503355704697,0.11677852348993288,,,,,0.1912751677852349,0.023154362416107382,0.09731543624161074,,0.0006711409395973154,0.13221476510067115,,4.3,Emmolo Merlot 2016,Merlot,Californian Merlot,4.0349827,0.0026845637583892616,,,0.006040268456375839,,,2.1567574,2397,1.6599456,,False,2.0763001,1,2016,0.024161073825503355,Emmolo,,0.012751677852348993
,0.11283643892339544,0.005175983436853002,0.2070393374741201,0.09213250517598344,,,,,0.12525879917184266,0.024844720496894408,0.3105590062111801,,,0.09213250517598344,,3.8,Murphy-Goode Pinot Noir 2016,Pinot Noir,Californian Pinot Noir,2.9205685,0.008281573498964804,,,0.008281573498964804,,1,1.5571144,2395,3.4258196,,False,2.0990896,,2016,0.008281573498964804,Murphy-Goode,,0.005175983436853002
,0.23467966573816157,0.006267409470752089,0.3370473537604457,0.08635097493036212,,1,,,0.08252089136490251,0.03447075208913649,0.13022284122562675,1,0.0006963788300835655,0.06337047353760446,,3.7,Apothic Crush (Smooth Red Blend) 2013,Crush (Smooth Red Blend),Californian Red Blend,4.858998,0.0006963788300835655,,,0.006963788300835654,,,1.941159,2393,3.8624892,,False,3.142151,1,2013,0.012534818941504178,Apothic,1,0.004178272980501393
,0.12846612846612845,0.007371007371007371,0.23762723762723761,0.10354510354510355,,,,,0.1955071955071955,0.023166023166023165,0.12951912951912953,,0.002808002808002808,0.13724113724113723,,4,Charles Krug Cabernet Sauvignon 2013,Cabernet Sauvignon,Napa Valley Cabernet Sauvignon,4.790997,0.009126009126009126,,,0.009126009126009126,,,1.4866092,2390,3.4636421,,False,3.391047,,2013,0.01088101088101088,Charles Krug,1,0.005616005616005616
1,0.1761904761904762,0.0019047619047619048,0.23809523809523808,0.16285714285714287,,,,1,0.13428571428571429,0.012380952380952381,0.17047619047619048,,,0.08476190476190476,,3.6,Witching Hour Red Blend 2015,Red Blend,Californian Bordeaux Blend,4.889169,,,1,0.0038095238095238095,1,,1.8658346,2390,3.8591943,,False,3.8730538,1,2015,0.011428571428571429,Witching Hour,1,0.0038095238095238095
,0.12481706042232908,0.0052268450763119385,0.23499895463098475,0.1302529793016935,,,,,0.14154296466652727,0.015680535228935814,0.18774827514112483,1,0.0012544428183148652,0.11080911561781309,,3.7,Cline Ancient Vines Zinfandel 2017,Ancient Vines Zinfandel,Californian Zinfandel,4.8200307,0.0052268450763119385,,,0.008153878319046624,,,2.5469496,2389,1.793255,,False,2.4533005,,2017,0.029061258624294376,Cline,,0.0052268450763119385
,0.14484007242003621,0.004224502112251056,0.23264936632468317,0.12326493663246832,,,,,0.16294508147254075,0.03092939046469523,0.12205793602896801,1,0.0012070006035003018,0.13111044055522028,,3.8,Michael David Winery The Seven Deadly Zins Old Vine Zinfandel 2010,The Seven Deadly Zins Old Vine Zinfandel,Californian Zinfandel,4.8929925,0.0028666264333132166,,,0.007694628847314424,,,2.608838,2385,1.7368283,,False,2.4837582,,2010,0.029571514785757393,Michael David Winery,,0.006638503319251659
,0.1314410480349345,0.005240174672489083,0.21179039301310043,0.10698689956331878,,,,,0.20131004366812227,0.026419213973799125,0.15589519650655023,,0.0008733624454148472,0.11331877729257642,,4.2,Duckhorn Napa Valley Merlot 2015,Napa Valley Merlot,Californian Merlot,3.9654722,0.0037117903930131003,,,0.00960698689956332,,,1.9515045,2384,1.7351415,,False,2.117757,1,2015,0.019868995633187773,Duckhorn,,0.013537117903930132
,0.1445028294260307,0.0035367825383993533,0.2734438156831043,0.1252021018593371,,,,,0.16309620048504447,0.033043654001616816,0.1520816491511722,,0.0008084074373484236,0.08316491511721907,,3.8,J. Lohr Estates Seven Oaks Cabernet Sauvignon 2010,Estates Seven Oaks Cabernet Sauvignon,Californian Cabernet Sauvignon,4.8445563,0.0025262732417138238,,,0.005456750202101859,,,1.598374,2384,2.999716,,False,3.3185515,,2010,0.010105092966855295,J. Lohr,1,0.0030315278900565883
,0.1350844277673546,0.004690431519699813,0.35834896810506567,0.05675422138836773,,1,,,0.12617260787992496,0.05300187617260788,0.11913696060037524,1,0.0009380863039399625,0.12664165103189493,,3.5,Cupcake Red Velvet 2014,Red Velvet,Californian Red Blend,4.91026,0.004690431519699813,,,0.00375234521575985,,,2.0119739,2374,3.9310799,,False,3.390401,1,2014,0.009849906191369606,Cupcake,1,0.0009380863039399625
,0.07709518038594201,0.07299338118765732,0.33177962151580126,0.06227276964668593,,,,,0.0013051179267269508,0.279854572573879,0.001771231471986576,,0.03989931947422392,0.03178894378670644,,4.3,Rombauer Vineyards Chardonnay 2018,Chardonnay,Napa Valley Chardonnay,4.8963346,0.0476368043255337,,,0.044933345763027877,,,2.403962,2372,2.693683,1,False,,,2018,0.0022373450172462014,Rombauer Vineyards,,0.006432366924582828
,0.07835912552198478,0.0950626381724392,0.29918938835666914,0.05919921395234586,,,,,0.0014738393515106854,0.23212969786293294,0.0017194792434291329,,0.06755097027757308,0.0506018177352002,,4.1,Mer Soleil Reserve Chardonnay 2014,Reserve Chardonnay,Californian Chardonnay,4.8600698,0.06165561287153034,,,0.04200442151805453,,,2.8201578,2363,3.1604705,1,False,,,2014,0.002702038811102923,Mer Soleil,,0.008351756325227217
,0.102,0.006,0.204,0.1195,,,,,0.1015,0.032,0.262,,0.0005,0.1395,,3.5,Noble Vines 667 Pinot Noir 2012,667 Pinot Noir,Californian Pinot Noir,3.0380206,0.0065,,,0.0085,,1,1.6000881,2358,3.449235,,False,2.1337519,,2012,0.0105,Noble Vines,,0.0075
,0.015238095238095238,0.3580952380952381,0.02857142857142857,0.008571428571428572,,,1,,,0.040952380952380955,0.007619047619047619,,0.09333333333333334,0.06761904761904762,,3.5,Barefoot Pinot Grigio 2014,Pinot Grigio,Californian Pinot Gris,2.9163742,0.3238095238095238,,,0.030476190476190476,,,2.0356555,2358,2.569096,,False,,,2014,0.0019047619047619048,Barefoot,,0.023809523809523808
,0.1539961013645224,0.005198180636777128,0.26380766731643923,0.09811565951916829,,,,,0.1267056530214425,0.02794022092267706,0.15594541910331383,,0.000649772579597141,0.14035087719298245,,3.8,Leese-Fitch Cabernet Sauvignon 2014,Cabernet Sauvignon,Napa Valley Cabernet Sauvignon,4.8172917,0.003898635477582846,,,0.007147498375568551,,,1.529294,2353,3.4733615,,False,3.3810596,,2014,0.011046133853151396,Leese-Fitch,1,0.005198180636777128
,0.15401911186059583,0.006183249016301293,0.2540753232152895,0.12703766160764474,,,,,0.17537942664418213,0.022484541877459248,0.11860595840359753,,,0.11186059584035975,,4.2,Textbook Cabernet Sauvignon 2017,Cabernet Sauvignon,Napa Valley Cabernet Sauvignon,4.740256,0.00505902192242833,,,0.006183249016301293,,,1.6107248,2345,3.3766282,,False,3.2661474,,2017,0.012928611579539067,Textbook,1,0.006183249016301293
,0.14454277286135694,0.00344149459193707,0.23795476892822026,0.12094395280235988,,1,,,0.18780727630285152,0.024582104228121928,0.15093411996066863,1,,0.09931170108161258,,4,Z.Alexander Brown Uncaged Proprietary Red Blend 2016,Uncaged Proprietary Red Blend,Californian Red Blend,4.839386,0.0019665683382497543,,,0.0058997050147492625,,,1.7209319,2345,3.8542106,,False,3.2315364,1,2016,0.019174041297935103,Z.Alexander Brown,1,0.00344149459193707
,0.13113948919449903,0.0068762278978389,0.25,0.10609037328094302,,,,,0.1719056974459725,0.029469548133595286,0.16208251473477406,,0.0019646365422396855,0.1031434184675835,,3.9,Z.Alexander Brown Uncaged Cabernet Sauvignon 2017,Uncaged Cabernet Sauvignon,Californian Cabernet Sauvignon,4.713271,0.009332023575638507,,,0.009332023575638507,,,1.5879915,2343,3.0283167,,False,3.2713141,,2017,0.012278978388998035,Z.Alexander Brown,1,0.0063850687622789785
,0.10177133655394525,0.13816425120772946,0.2687600644122383,0.08631239935587762,,,,,0.0006441223832528181,0.1723027375201288,0.0024154589371980675,,0.05587761674718197,0.04154589371980676,,3.8,Wente Morning Fog Chardonnay 2015,Morning Fog Chardonnay,Californian Chardonnay,4.759938,0.07971014492753623,,,0.044766505636070854,,,2.72848,2343,3.176815,1,False,,,2015,0.0025764895330112722,Wente,,0.0051529790660225444
1,0.15045223913523054,0.0024266490183101697,0.23759099933818664,0.10611074343701743,,,,1,0.18839620560335318,0.028237370394881976,0.08250606662254578,,0.0008824178248400617,0.16412971542025148,,4.7,Joseph Phelps Insignia 2012,Insignia,Napa Valley Bordeaux Blend,4.7836976,0.001985440105890139,,,0.008382969335980588,1,,1.7267506,2343,3.8474145,,False,3.507215,1,2012,0.01500110302228105,Joseph Phelps,1,0.013898080741230973
,0.12121212121212122,0.006000600060006,0.24332433243324333,0.09930993099309932,,,,,0.1923192319231923,0.032403240324032405,0.18061806180618062,,0.0021002100210021,0.09390939093909391,,3.9,Oberon Cabernet Sauvignon 2017,Cabernet Sauvignon,Napa Valley Cabernet Sauvignon,4.6780267,0.0039003900390039005,,,0.006000600060006,,,1.6513509,2342,3.2731786,,False,3.1817553,,2017,0.015001500150015001,Oberon,1,0.0039003900390039005
,0.10584101888449715,0.005709266578831796,0.19894598155467721,0.12604303908651734,,,,,0.1712779973649539,0.02854633289415898,0.22090469916556874,1,0.002635046113306983,0.09749670619235837,,3.6,Ravenswood Vintners Blend Old Vine Zinfandel 2014,Vintners Blend Old Vine Zinfandel,Californian Zinfandel,4.817493,0.005270092226613966,,,0.00834431269213878,,,2.4934714,2340,1.8245656,,False,2.5337656,,2014,0.024593763724198508,Ravenswood,,0.004391743522178305
,0.14035989717223651,0.006169665809768638,0.21233933161953727,0.12544987146529563,,,,,0.08740359897172237,0.030334190231362468,0.2647814910025707,,0.003084832904884319,0.09562982005141388,,3.5,Robert Mondavi Private Selection Pinot Noir 2014,Pinot Noir,Californian Pinot Noir,2.9842696,0.004627249357326478,,,0.007712082262210797,,1,1.5637444,2333,3.444735,,False,2.1615248,,2014,0.009254498714652956,Robert Mondavi Private Selection,,0.012853470437017995
,0.11319394376351838,0.002883922134102379,0.26820475847152125,0.08507570295602018,,1,,,0.2350396539293439,0.028118240807498196,0.10310021629416005,1,0.0007209805335255948,0.12761355443403027,,3.8,Gnarly Head Authentic Black 2013,Authentic Black,Californian Red Blend,4.928768,0.0021629416005767843,,,0.004325883201153569,,,1.9976069,2331,3.8900292,,False,3.4734128,1,2013,0.025234318673395817,Gnarly Head,1,0.004325883201153569
,0.12637362637362637,0.005744255744255744,0.24175824175824176,0.1038961038961039,,,,,0.1893106893106893,0.023226773226773228,0.14135864135864135,,0.00024975024975024975,0.13411588411588413,,4.3,Jordan Cabernet Sauvignon 2009,Cabernet Sauvignon,Californian Cabernet Sauvignon,4.758405,0.004745254745254745,,,0.00924075924075924,,,1.4192977,2329,3.0261574,,False,3.251597,,2009,0.00924075924075924,Jordan,1,0.01073926073926074
,0.14657293497363796,0.002460456942003515,0.24815465729349737,0.11388400702987697,,,,,0.1757469244288225,0.03022847100175747,0.11388400702987697,,0.00070298769771529,0.13884007029876977,,4.3,Sequoia Grove Cabernet Sauvignon  2016,Cabernet Sauvignon ,Napa Valley Cabernet Sauvignon,4.80475,0.001054481546572935,,,0.01124780316344464,,,1.5589544,2325,3.362732,,False,3.3009622,,2016,0.00984182776801406,Sequoia Grove,1,0.007381370826010545
,0.12074303405572756,0.007076514816452897,0.18000884564352057,0.1017249004865104,,,,,0.13799203892083148,0.03494029190623618,0.2649270234409553,,0.0017691287041132243,0.1096859796550199,,3.8,Wines from Hahn Estate Pinot Noir 2017,Pinot Noir,Californian Pinot Noir,3.079331,0.005307386112339673,,,0.012826183104820876,,1,1.5941105,2324,3.4251325,,False,2.1042376,,2017,0.01238390092879257,Wines from Hahn Estate,,0.010614772224679346
,0.15485564304461943,0.004374453193350831,0.2440944881889764,0.11198600174978128,,,,,0.15223097112860892,0.02974628171478565,0.17410323709536307,,0.0026246719160104987,0.1084864391951006,,3.9,Imagery Cabernet Sauvignon 2016,Cabernet Sauvignon,Californian Cabernet Sauvignon,4.5600123,0.0026246719160104987,,,0.00699912510936133,,,1.645643,2322,2.9613705,,False,3.1487267,,2016,0.006124234470691163,Imagery,1,0.0017497812773403325
,0.15338164251207728,0.0007246376811594203,0.24178743961352658,0.09444444444444444,,,,,0.18140096618357487,0.02077294685990338,0.12198067632850242,,0.0004830917874396135,0.157487922705314,,4.2,Mount Veeder Winery Cabernet Sauvignon 2015,Cabernet Sauvignon,Napa Valley Cabernet Sauvignon,4.820036,0.003864734299516908,,,0.008695652173913044,,,1.518618,2321,3.4535155,,False,3.476614,,2015,0.008695652173913044,Mount Veeder Winery,1,0.006280193236714976
,0.11095890410958904,0.008904109589041096,0.1821917808219178,0.11095890410958904,,,,,0.09041095890410959,0.04726027397260274,0.36027397260273974,,0.0027397260273972603,0.057534246575342465,,3.6,Mirassou Pinot Noir 2014,Pinot Noir,Californian Pinot Noir,2.9542859,0.005479452054794521,,,0.009589041095890411,,1,1.6979795,2316,3.4380627,,False,2.0349803,,2014,0.010273972602739725,Mirassou,,0.003424657534246575
,0.1305428926647327,0.008288437629506838,0.19436386241193535,0.11438043928719437,,,,,0.09448818897637795,0.02652300041442188,0.23995026937422295,,0.0016576875259013675,0.12225445503522586,,3.9,MacMurray Pinot Noir 2015,Pinot Noir,Californian Pinot Noir,3.0405571,0.009946125155408206,,,0.01326150020721094,,1,1.4793682,2314,3.4773483,,False,2.031444,,2015,0.012018234562784915,MacMurray,,0.03232490675507667
,0.16259695489801781,0.0037345590347601263,0.21832806664751508,0.1281241022694628,,,,,0.12094225797184717,0.03131284113760414,0.2013789141051422,,0.0008618213157138753,0.09422579718471703,,4.4,Belle Glos Dairyman Vineyard Pinot Noir 2017,Dairyman Vineyard Pinot Noir,Californian Pinot Noir,3.3364723,0.002298190175237001,,,0.007756391841424878,,1,1.7546958,2314,3.3903656,,False,1.9939833,,2017,0.018672795173800633,Belle Glos,,0.009767308244757253
,0.1484924623115578,0.004020100502512563,0.2364321608040201,0.11457286432160804,,,,,0.19170854271356783,0.030904522613065328,0.09396984924623115,,0.002763819095477387,0.14020100502512564,,4.4,Joseph Phelps Cabernet Sauvignon 2015,Cabernet Sauvignon,Napa Valley Cabernet Sauvignon,4.747772,0.0037688442211055275,,,0.009045226130653266,,,1.6697083,2311,3.3565345,,False,3.3660133,,2015,0.015577889447236181,Joseph Phelps,1,0.008542713567839196
,0.14056224899598393,0.004819277108433735,0.2321285140562249,0.13734939759036144,,,,,0.13253012048192772,0.027309236947791166,0.17751004016064256,1,0.0008032128514056225,0.10120481927710843,,3.7,Cline Zinfandel 2013,Zinfandel,Californian Zinfandel,4.7664676,0.005622489959839358,,,0.00642570281124498,,,2.6070168,2309,1.738422,,False,2.4240165,,2013,0.02971887550200803,Cline,,0.004016064257028112
,0.1518784972022382,0.005595523581135092,0.2214228617106315,0.13229416466826538,,,,,0.06474820143884892,0.03916866506794564,0.22861710631494805,,0.0003996802557953637,0.11270983213429256,,3.8,Rodney Strong Estate Pinot Noir 2014,Estate Pinot Noir,Californian Pinot Noir,3.00631,0.005595523581135092,,,0.011191047162270184,,1,1.4029176,2304,3.4947524,,False,2.0991316,,2014,0.009992006394884092,Rodney Strong,,0.016386890487609912
,0.10722610722610723,0.002331002331002331,0.22377622377622378,0.04428904428904429,,1,,,0.22144522144522144,0.018648018648018648,0.23193473193473194,1,0.002331002331002331,0.12237762237762238,,3.5,Cupcake Black Forest (Decadent Red) 2014,Black Forest (Decadent Red),Californian Red Blend,4.86514,0.0034965034965034965,,,0.004662004662004662,,,2.0240605,2303,3.8970506,,False,3.4115708,1,2014,0.015151515151515152,Cupcake,1,0.002331002331002331
,0.14749780509218613,0.0030728709394205445,0.24582967515364354,0.10798946444249341,,,,,0.2115891132572432,0.02633889376646181,0.12510974539069358,,0.001755926251097454,0.1009657594381036,,3.6,Kendall-Jackson Vintner's Reserve Cabernet Sauvignon 2012,Vintner's Reserve Cabernet Sauvignon,Californian Cabernet Sauvignon,4.792615,0.005706760316066725,,,0.006584723441615452,,,1.6132419,2301,3.0762775,,False,3.3892732,,2012,0.014486391571553995,Kendall-Jackson,1,0.0030728709394205445
,0.13031550068587106,0.004686785550983082,0.2085048010973937,0.12071330589849108,,1,,,0.2370827617741198,0.023662551440329218,0.10653863740283494,1,0.0014860539551897576,0.11534064929126657,,4,Michael David Winery Petite Petit 2011,Petite Petit,Californian Red Blend,4.8829265,0.003200731595793324,,,0.007315957933241884,,,1.8135463,2299,3.8845994,,False,3.515543,1,2011,0.030978509373571102,Michael David Winery,1,0.010173754000914494
,0.14846029173419772,0.00226904376012966,0.24991896272285252,0.1260940032414911,,,,,0.18606158833063208,0.03176661264181523,0.0952998379254457,,0.0009724473257698541,0.13322528363047,,4.2,Honig Cabernet Sauvignon 2013,Cabernet Sauvignon,Napa Valley Cabernet Sauvignon,4.8543234,0.002917341977309562,,,0.004862236628849271,,,1.5920604,2297,3.3800988,,False,3.4418004,,2013,0.011993517017828201,Honig,1,0.006158833063209076
,0.14441747572815533,0.002669902912621359,0.24271844660194175,0.11213592233009709,,,,,0.19199029126213593,0.02669902912621359,0.12135922330097088,,0.0012135922330097086,0.11747572815533981,,4.3,Orin Swift Palermo Cabernet Sauvignon 2016,Palermo Cabernet Sauvignon,Napa Valley Cabernet Sauvignon,4.8083897,0.0016990291262135922,,,0.008980582524271844,,,1.7779071,2290,3.38852,,False,3.3590007,,2016,0.0220873786407767,Orin Swift,1,0.006553398058252427
,0.17597765363128492,0.0022346368715083797,0.3125698324022346,0.14553072625698324,,1,,,0.07486033519553073,0.023743016759776536,0.1418994413407821,1,0.0008379888268156424,0.10642458100558659,,3.6,Cocobon Red Blend 2013,Red Blend,Californian Red Blend,4.867489,0.0036312849162011174,,,0.002793296089385475,,,1.7953138,2289,3.871889,,False,3.312222,1,2013,0.00782122905027933,Cocobon,1,0.0016759776536312849
1,0.15095285857572718,0.0015045135406218655,0.24072216649949849,0.12938816449348045,,,,1,0.18455366098294884,0.022066198595787363,0.1334002006018054,,0.0010030090270812437,0.11033099297893681,,4.1,Francis Ford Coppola Winery Director's Cut Cabernet Sauvignon 2015,Director's Cut Cabernet Sauvignon,Californian Bordeaux Blend,4.7767825,0.0025075225677031092,,1,0.006519558676028084,1,,1.5360916,2288,3.3372428,,False,3.430954,1,2015,0.015045135406218655,Francis Ford Coppola Winery,1,0.0020060180541624875
,0.15033350436121087,0.006670087224217547,0.21703437660338634,0.10928681375064135,,1,,,0.2016418676244228,0.03181118522319138,0.12057465366854797,1,0.000513083632632119,0.12057465366854797,,3.9,Michael David Winery Freakshow Red 2015,Freakshow Red,Californian Red Blend,4.8296895,0.0035915854284248334,,,0.005643919958953309,,,1.8745843,2285,3.8291247,,False,3.5239131,1,2015,0.02616726526423807,Michael David Winery,1,0.0061570035915854285
,0.15317286652078774,0.0029175784099197666,0.23340627279358134,0.13347921225382933,,,,,0.18818380743982493,0.0262582056892779,0.12035010940919037,,,0.11159737417943107,,3.9,Delicato Three Finger Jack Cabernet Sauvignon 2017,Three Finger Jack Cabernet Sauvignon,Californian Cabernet Sauvignon,4.6601787,0.0014587892049598833,,,0.00437636761487965,,,2.0076306,2279,2.906058,,False,3.2187612,,2017,0.020423048869438368,Delicato,1,0.00437636761487965
,0.07709518038594201,0.07299338118765732,0.33177962151580126,0.06227276964668593,,,,,0.0013051179267269508,0.279854572573879,0.001771231471986576,,0.03989931947422392,0.03178894378670644,,4.4,Rombauer Vineyards Chardonnay 1980,Chardonnay,Napa Valley Chardonnay,4.8963346,0.0476368043255337,,,0.044933345763027877,,,2.403962,2279,2.693683,1,False,,,1980,0.0022373450172462014,Rombauer Vineyards,,0.006432366924582828
,0.01454468802698145,0.31429173693086004,0.04236930860033727,0.021711635750421586,1,,,,0.0031618887015177066,0.05417369308600337,0.005269814502529511,,0.07546374367622259,0.13406408094435077,,4,Pine Ridge Chenin Blanc - Viognier 2016,Chenin Blanc - Viognier,Californian White Blend,3.9417474,0.25379426644182124,,,0.038575042158516024,,,2.411284,2279,2.6319404,1,False,,,2016,0.0031618887015177066,Pine Ridge,,0.039418212478920744
,0.1870748299319728,0.006802721088435374,0.25170068027210885,0.1836734693877551,,,,,0.1564625850340136,0.023809523809523808,0.10204081632653061,,0.003401360544217687,0.06802721088435375,,3.3,Redwood Creek Cabernet Sauvignon 2011,Cabernet Sauvignon,Californian Cabernet Sauvignon,4.6607757,0.006802721088435374,,,,,,2.1461637,2279,2.8649318,,False,3.2534802,,2011,0.006802721088435374,Redwood Creek,1,0.003401360544217687
